h  k  l  I  sigma(I)  peak  background  fs/px  ss/px  panel
-14 -8 35 -46.21 77.17 113.0 50.62 642.5 679.3 q1a7 
-14 -6 25 -37.01 166.87 195.0 56.96 736.5 599.0 q1a7 
-14 0 5 -165.88 216.24 299.0 83.41 691.6 113.3 q1a1 
-14 24 -35 -101.41 81.89 79.0 33.21 925.6 618.5 q2a6 
-14 32 -43 3.94 73.06 66.0 30.06 786.0 522.8 q2a4 
-13 -9 38 -156.24 89.56 91.0 47.27 636.8 729.0 q1a7 
-13 -5 19 80.61 161.86 171.0 75.13 552.3 7.7 q1a0 
-13 9 -15 125.81 169.47 263.0 73.19 704.1 1415.5 q1a15 
-12 -10 43 12.13 50.36 64.0 39.07 353.9 1242.5 q0a13 
-12 8 -14 1171.69 210.66 537.0 79.31 713.2 1452.2 q1a15 
-12 34 -46 -63.06 91.17 85.0 31.06 799.6 436.8 q2a4 
-11 -11 50 -5.53 67.22 63.0 36.68 271.0 1197.3 q0a13 
-11 3 -5 1153.52 185.99 868.0 50.52 704.8 238.2 q1a3 
-11 29 -42 127.42 75.69 72.0 30.18 909.2 489.0 q2a4 
-10 -6 19 1915.01 175.18 1207.0 71.59 480.6 71.5 q1a0 
-10 12 -22 76.45 145.11 200.0 84.95 814.0 12.8 q2a0 
-9 -9 31 -186.95 282.71 413.0 96.82 380.8 1394.8 q0a15 
-9 -7 22 -240.5 165.15 191.0 77.07 433.4 66.4 q1a0 
-9 11 -21 105.06 175.18 197.0 82.94 822.3 49.3 q2a0 
-9 13 -24 28.74 139.63 131.0 82.86 854.8 16.4 q2a0 
-9 25 -39 -62.18 79.89 93.0 39.58 1017.0 500.6 q2a5 
-9 27 -41 13.06 76.49 77.0 37.94 985.4 469.8 q2a5 
-9 39 -51 -77.65 74.53 64.0 25.85 1105.2 1097.6 q2a11 
-8 -12 54 187.67 118.77 172.0 36.8 167.8 1230.0 q0a12 
-8 -12 55 101.35 128.82 111.0 35.85 159.0 1220.0 q0a12 
-8 -2 5 893.45 140.48 757.0 30.93 550.1 206.8 q1a2 
-8 0 0 4188.25 268.79 2625.0 31.65 589.5 251.6 q1a3 
-8 22 -36 -140.86 167.41 156.0 49.26 1087.3 524.0 q2a5 
-8 40 -52 43.15 47.81 49.0 25.65 1063.3 1088.6 q2a11 
-7 -9 29 385.03 387.53 405.0 112.88 351.5 1455.7 q0a15 
-7 -1 2 4954.4 247.54 2755.0 27.83 552.7 253.6 q1a2 
-7 7 -15 -226.51 105.84 117.0 57.11 800.3 157.7 q2a0 
-7 33 -47 -0.85 65.63 65.0 26.65 1152.9 946.0 q2a11 
-7 41 -53 40.39 54.82 61.0 26.01 1021.0 1079.5 q2a11 
-6 -10 34 1588.78 171.3 571.0 82.56 288.8 1433.8 q0a15 
-6 -8 24 -299.01 195.31 164.0 57.35 359.5 350.4 q0a3 
-6 -4 10 1911.1 160.69 898.0 23.14 464.4 203.9 q1a2 
-6 8 -17 -43.21 83.48 96.0 57.41 840.1 161.2 q2a0 
-6 34 -48 -55.81 73.28 65.0 28.81 1113.3 936.8 q2a11 
-6 38 -51 101.67 59.82 46.0 25.93 1047.8 1001.6 q2a11 
-5 -11 40 501.07 187.83 414.0 77.96 217.0 1402.9 q0a15 
-5 11 -22 -67.49 96.48 108.0 62.89 912.3 133.3 q2a0 
-5 13 -25 338.62 290.75 275.0 77.38 945.1 101.4 q2a0 
-5 19 -33 -137.43 148.79 138.0 73.83 1037.7 8.5 q2a1 
-4 -12 49 -111.37 86.09 106.0 61.11 120.6 1344.4 q0a14 
-4 -2 4 7231.0 274.42 4793.0 22.86 470.4 296.9 q1a2 
-4 0 -1 817.71 117.95 484.0 26.37 512.4 341.1 q1a2 
-4 34 -48 17.7 52.4 61.0 32.7 1068.0 912.3 q2a9 
-3 -11 40 -363.52 256.19 230.0 82.11 176.1 1447.6 q0a14 
-3 -7 20 -32.11 72.51 83.0 39.27 261.7 318.2 q0a3 
-3 11 -22 162.66 128.19 117.0 50.09 953.5 177.5 q2a0 
-3 13 -25 -131.74 145.93 173.0 72.14 983.6 146.1 q2a1 
-3 19 -33 160.77 101.13 163.0 80.03 1079.9 54.6 q2a1 
-2 -12 50 248.5 94.26 104.0 53.5 67.1 1381.6 q0a14 
-2 -12 77 -44.03 72.17 64.0 28.23 47.6 914.0 q0a8 
-2 -8 24 35.3 77.71 72.0 39.44 274.3 264.4 q0a3 
-2 16 -29 -319.65 257.27 358.0 90.85 1051.9 123.5 q2a1 
-2 20 -34 91.52 207.52 291.0 79.28 1115.6 63.9 q2a1 
-2 44 -55 67.34 45.47 40.0 22.46 852.3 990.7 q2a10 
-1 -9 29 74.62 105.58 113.0 50.38 294.7 202.4 q0a3 
-1 21 -35 -177.93 190.34 174.0 75.33 1151.6 73.3 q2a1 
-1 37 -50 -248.7 107.34 78.0 29.3 955.0 878.4 q2a8 
0 22 -36 217.61 123.76 152.0 60.99 854.2 1467.5 q2a14 
0 30 -44 95.12 96.95 74.0 35.88 1049.3 748.1 q2a9 
0 36 -49 181.41 94.71 64.0 25.79 951.0 835.9 q2a8 
0 40 -52 58.91 60.53 59.0 29.29 880.2 897.0 q2a8 
1 -11 44 153.92 156.39 168.0 69.08 375.7 59.4 q0a1 
1 -11 83 -17.75 43.82 42.0 22.75 58.6 1035.0 q0a10 
1 -9 31 15.15 183.07 216.0 82.18 266.6 171.5 q0a1 
1 7 -14 486.09 136.44 391.0 29.71 957.9 309.4 q2a2 
1 13 -24 248.36 97.76 81.0 46.24 1060.2 213.0 q2a3 
1 35 -48 91.4 102.65 104.0 28.4 947.2 794.2 q2a8 
1 39 -51 -76.4 56.12 52.0 29.6 876.9 853.4 q2a8 
2 -6 19 357.85 96.0 425.0 33.49 148.7 222.4 q0a2 
2 12 -22 -199.18 92.75 74.0 47.58 1060.8 253.3 q2a3 
3 -11 50 23.0 116.5 88.0 40.0 379.9 385.6 q0a5 
3 -11 77 142.41 84.39 63.0 23.79 179.3 1011.9 q0a10 
3 -11 78 18.14 70.16 84.0 24.26 168.6 1023.8 q0a10 
3 -9 34 -240.42 273.2 355.0 98.25 246.0 104.2 q0a1 
3 3 -5 890.36 116.28 520.0 32.01 1211.2 304.8 q3a2 
3 5 -9 328.43 103.76 410.0 33.52 1175.8 266.7 q3a2 
3 7 -13 39.25 77.0 82.0 39.75 989.3 358.9 q2a3 
3 25 -38 -10.51 91.99 113.0 59.11 889.3 1362.1 q2a14 
3 27 -40 -111.15 91.89 77.0 51.35 861.5 1329.1 q2a14 
4 0 3 1816.44 167.66 879.0 34.56 1299.0 353.9 q3a2 
4 22 -34 346.8 185.44 168.0 72.8 958.9 1394.3 q2a14 
4 38 -49 -144.91 86.92 74.0 31.71 833.3 752.5 q2a8 
5 35 -46 -95.31 80.16 74.0 38.31 805.7 1181.8 q2a12 
6 -10 51 91.07 69.47 85.0 36.96 302.9 448.5 q0a5 
6 -10 52 -43.45 62.62 62.0 34.52 293.2 440.1 q0a5 
6 -10 76 79.51 49.07 46.0 23.89 266.1 1076.5 q0a11 
6 -8 35 -695.48 527.36 491.0 106.89 187.0 32.4 q0a0 
6 -6 25 -713.4 576.27 719.0 85.03 106.0 119.1 q0a0 
6 12 -19 -28.04 194.01 230.0 59.84 1125.3 360.4 q2a3 
6 16 -25 -765.89 352.53 338.0 117.49 1095.6 1461.1 q2a15 
6 28 -39 -188.46 147.86 131.0 43.66 931.5 1285.5 q2a12 
6 30 -41 -146.8 107.8 111.0 40.2 903.7 1250.7 q2a12 
7 -9 45 -67.63 189.77 175.0 47.71 337.2 523.5 q0a5 
7 -7 32 136.31 216.35 191.0 89.36 138.8 37.8 q0a0 
7 -5 23 37.51 124.96 134.0 68.3 65.7 115.8 q0a0 
7 9 -13 58.49 103.15 129.0 59.05 1216.9 160.3 q3a0 
7 19 -28 205.45 137.95 153.0 77.95 1081.7 1394.5 q2a15 
7 23 -33 345.25 125.03 146.0 63.75 1025.0 1325.5 q2a15 
7 33 -43 -35.25 78.28 96.0 38.25 891.7 1179.3 q2a12 
8 -4 21 94.63 122.01 127.0 64.62 25.6 112.4 q0a0 
8 -2 14 42.9 74.78 85.0 45.86 1468.1 354.4 q3a3 
8 2 3 709.75 111.37 415.0 37.6 1374.7 258.9 q3a3 
8 8 -10 37.29 74.2 132.0 62.91 1263.4 165.0 q3a0 
8 12 -17 6.52 228.14 255.0 75.28 1198.0 91.6 q3a0 
8 16 -23 88.34 423.12 362.0 106.46 1153.5 1430.5 q2a15 
8 34 -43 -26.81 79.43 82.0 39.81 908.5 1143.1 q2a12 
9 -7 38 -163.0 203.18 244.0 58.0 358.2 601.8 q0a7 
9 -1 13 155.55 102.93 141.0 48.09 1479.7 320.8 q3a3 
9 3 2 30.95 74.92 75.0 40.84 1385.9 225.1 q3a3 
9 11 -14 437.68 151.61 458.0 71.82 1245.0 96.3 q3a0 
9 19 -26 -342.61 185.69 178.0 81.01 1140.4 1363.1 q2a15 
10 -8 54 -93.28 105.97 105.0 32.43 182.5 523.5 q0a4 
10 -6 36 -25.72 297.89 621.0 63.83 354.6 643.4 q0a7 
10 -4 26 -246.1 167.87 178.0 87.43 16.2 27.7 q0a0 
10 0 12 -230.04 177.91 194.0 56.1 1491.3 286.9 q3a3 
10 10 -11 256.49 214.98 282.0 78.32 1292.0 101.0 q3a0 
11 -7 49 107.96 71.99 71.0 39.78 207.2 563.7 q0a7 
11 -5 34 -313.1 287.8 282.0 60.33 350.9 685.1 q0a7 
11 1 11 1272.89 192.39 501.0 63.33 1503.0 252.8 q3a3 
11 25 -31 -18.69 125.78 134.0 46.69 1119.7 1253.7 q2a13 
12 -6 46 103.18 71.85 86.0 39.69 213.7 614.7 q0a7 
12 8 -4 521.99 228.93 315.0 85.04 1391.0 115.7 q3a1 
12 16 -18 -800.19 313.38 269.0 80.49 1544.7 641.8 q3a7 
12 26 -31 -22.19 171.0 162.0 46.19 1137.8 1219.5 q2a13 
13 -5 44 142.99 96.71 109.0 39.45 210.0 658.0 q0a7 
13 -1 23 531.11 138.13 315.0 70.67 1483.2 1394.4 q3a15 
13 1 16 1003.16 137.81 393.0 72.51 1424.7 1456.5 q3a15 
13 9 -4 -146.93 223.16 258.0 88.73 1410.1 85.7 q3a1 
13 11 -8 1244.9 206.02 522.0 86.41 1373.7 45.3 q3a1 
13 17 -18 386.95 124.41 283.0 61.45 1512.9 623.0 q3a7 
13 23 -26 -83.24 100.62 105.0 51.64 1403.6 707.0 q3a7 
14 8 0 -399.0 289.4 353.0 90.14 1466.0 95.8 q3a1 
14 10 -4 -99.67 139.75 167.0 81.01 1429.6 55.2 q3a1 
14 12 -8 -40.45 142.39 169.0 79.09 1393.0 14.4 q3a1 
15 1 22 483.86 113.69 303.0 60.59 1418.9 1359.9 q3a15 
15 9 0 132.03 190.04 261.0 79.69 1486.0 65.2 q3a1 
15 11 -4 1009.96 155.32 476.0 67.65 1449.4 24.3 q3a1 
15 23 -23 96.99 79.87 81.0 45.61 1374.8 637.8 q3a7 
15 29 -30 -126.36 77.21 71.0 38.76 1264.6 717.6 q3a6 
16 -2 41 28.41 94.0 120.0 31.36 1543.4 1182.3 q3a13 
16 2 22 51.28 98.1 100.0 60.85 1389.2 1337.7 q3a15 
16 16 -11 -107.79 258.74 262.0 59.59 1495.2 526.1 q3a5 
16 26 -25 -112.59 121.11 111.0 40.79 1307.0 641.6 q3a6 
17 -1 41 -26.96 64.19 73.0 33.35 1513.2 1157.4 q3a13 
17 1 30 -46.9 73.4 80.0 36.57 1425.0 1267.0 q3a13 
17 7 10 -116.36 108.09 95.0 55.42 1256.0 1425.2 q3a14 
17 9 5 -54.18 114.61 108.0 57.64 1209.0 1470.7 q3a14 
17 15 -7 20.34 179.88 173.0 52.46 1505.5 468.4 q3a5 
17 25 -22 40.79 83.75 89.0 37.41 1312.3 590.2 q3a6 
18 6 16 43.25 86.74 97.0 51.75 1277.8 1348.1 q3a14 
18 18 -10 -168.38 84.7 79.0 44.38 1434.0 476.4 q3a5 
18 20 -13 -47.78 97.0 81.0 42.98 1394.6 505.8 q3a5 
19 3 31 18.18 88.2 74.0 34.36 1369.6 1208.6 q3a13 
19 5 23 -99.66 106.71 87.0 37.61 1305.8 1286.7 q3a12 
19 9 11 137.97 89.62 114.0 50.08 1198.4 1371.9 q3a14 
19 25 -18 116.65 70.1 71.0 34.15 1285.4 536.4 q3a4 
20 4 32 108.95 83.49 72.0 29.21 1347.0 1173.2 q3a12 
20 6 24 -45.55 70.24 87.0 33.71 1279.7 1252.7 q3a12 
20 10 12 135.09 70.44 98.0 44.04 1171.3 1339.6 q3a14 
20 12 7 -49.44 75.65 68.0 34.66 1485.8 752.8 q3a9 
20 18 -5 -62.61 82.63 87.0 40.01 1414.9 386.4 q3a5 
20 26 -17 9.71 62.44 70.0 35.09 1253.1 506.1 q3a4 
21 13 8 34.18 66.77 59.0 31.22 1453.1 780.9 q3a9 
21 27 -16 49.68 61.5 62.0 33.92 1219.9 475.0 q3a4 
23 23 -5 -128.33 112.44 107.0 31.93 1532.0 992.4 q3a11 
24 22 0 -47.01 64.37 80.0 29.61 1458.1 978.2 q3a11 
25 17 14 -78.49 81.8 120.0 30.68 1295.1 891.3 q3a8 
25 27 -5 -14.94 67.18 70.0 29.94 1483.4 1101.1 q3a11 
26 26 0 106.68 69.2 155.0 26.78 1406.0 1087.4 q3a11 
28 24 12 -77.92 54.9 47.0 24.32 1225.5 1050.7 q3a10 
28 26 8 39.64 45.84 49.0 23.76 1267.5 1102.0 q3a10 
-23 3 -8 -80.66 133.5 156.0 80.97 1272.5 717.3 q3a6 
-23 3 33 94.76 90.49 89.0 56.66 1449.6 951.0 q3a11 
-22 2 -17 37.08 103.83 117.0 76.55 1088.4 1148.7 q2a13 
-22 4 -1 -44.58 197.03 202.0 85.75 1321.3 635.7 q3a6 
-20 -12 -61 34.1 78.05 83.0 42.1 807.2 1014.1 q2a10 
-20 -10 -57 225.75 94.39 79.0 43.25 820.5 940.5 q2a10 
-20 0 54 74.14 102.03 110.0 54.94 1188.8 840.8 q3a8 
-20 2 45 -97.77 159.41 138.0 63.89 1319.0 850.7 q3a8 
-19 -3 -40 128.75 145.65 293.0 71.66 788.5 1217.8 q2a12 
-19 5 21 112.5 121.69 140.0 87.5 1456.2 417.3 q3a5 
-17 -13 -64 -260.34 116.85 103.0 46.54 922.8 1055.9 q2a10 
-16 -8 -54 -88.39 175.66 204.0 62.99 983.0 904.3 q2a9 
-16 -4 -44 -53.49 115.85 111.0 63.68 1003.4 752.5 q2a9 
-16 -2 -38 -68.93 136.79 157.0 98.96 817.8 1302.8 q2a14 
-16 0 -31 -172.03 157.77 205.0 117.82 909.5 1314.4 q2a14 
-16 0 56 222.19 101.26 112.0 55.81 1184.9 1128.5 q3a12 
-15 1 52 -120.0 84.32 102.0 56.0 1214.2 1195.1 q3a12 
-14 -8 -54 165.52 102.04 133.0 63.05 1056.6 901.9 q2a9 
-14 -4 -44 -37.87 100.6 112.0 69.67 1073.9 752.6 q2a9 
-14 -2 -38 -8.4 139.04 195.0 113.07 816.9 1372.0 q2a14 
-14 0 -31 -661.49 332.66 356.0 146.95 907.2 1382.3 q2a14 
-14 0 56 196.76 99.15 115.0 53.64 1256.0 1147.7 q3a12 
-13 -13 -64 151.06 82.83 92.0 48.94 1075.2 1044.8 q2a11 
-13 5 0 285.83 377.68 487.0 198.68 1246.7 47.1 q3a0 
-13 5 25 914.15 319.07 474.0 159.12 1523.8 80.4 q3a1 
-12 4 34 -31.56 287.21 295.0 141.89 1285.7 1420.3 q3a14 
-11 -15 -67 -61.06 126.57 115.0 43.06 1144.7 1099.9 q2a11 
-11 -3 -40 -36.2 223.86 369.0 134.8 786.8 1469.7 q2a14 
-11 3 -15 909.05 687.13 460.0 221.59 1155.8 292.0 q2a3 
-11 3 40 -74.2 212.18 288.0 127.39 1328.2 1354.3 q3a14 
-11 5 5 66.45 271.31 300.0 152.3 1294.0 116.4 q3a0 
-11 5 20 1841.37 604.36 1298.0 228.52 1456.6 136.8 q3a1 
-9 -15 -66 -255.99 112.39 109.0 58.39 805.1 393.6 q2a4 
-9 3 -12 217.51 289.07 297.0 101.97 1089.8 319.2 q2a3 
-8 -2 59 -54.92 89.69 101.0 62.2 1464.6 1153.8 q3a13 
-7 -13 -61 -194.53 100.82 112.0 59.73 891.5 469.3 q2a4 
-7 -11 -57 508.43 167.37 214.0 59.17 958.2 472.3 q2a4 
-7 -1 54 255.46 177.33 199.0 70.22 1485.0 1229.6 q3a13 
-7 1 45 -205.6 191.05 211.0 132.4 1463.8 1318.1 q3a15 
-7 3 32 45.57 447.47 438.0 197.66 1437.3 1472.6 q3a15 
-6 -14 -62 149.62 91.72 110.0 55.38 871.0 503.7 q2a4 
-6 -6 -44 -453.24 418.56 336.0 128.27 1143.9 515.8 q2a5 
-6 2 -12 7740.7 307.13 6089.0 79.05 998.0 308.3 q2a3 
-5 -11 -55 163.24 135.95 195.0 79.36 980.4 541.6 q2a5 
-4 -4 60 373.19 164.73 170.0 65.51 154.8 708.2 q0a6 
-4 2 29 2052.59 399.69 801.0 134.68 1521.9 341.3 q3a3 
-3 -1 -21 179.01 140.31 139.0 70.61 918.5 195.7 q2a2 
-2 -4 -31 2384.49 374.13 1083.0 151.85 893.8 102.5 q2a0 
-1 -1 39 781.65 265.01 527.0 170.78 70.4 18.8 q0a0 
-1 1 6 14095.48 812.16 8757.0 185.62 8.1 351.8 q0a2 
-1 1 19 545.48 126.82 209.0 64.81 29.1 213.0 q0a2 
0 -10 -45 -573.11 423.27 414.0 136.7 1104.5 683.0 q2a7 
1 -9 65 -290.19 169.71 220.0 67.19 109.1 541.3 q0a4 
1 -7 -34 2550.82 379.16 2075.0 184.47 799.2 51.2 q2a0 
1 -1 28 611.01 167.1 521.0 128.61 108.9 153.1 q0a0 
3 -9 -35 668.88 833.0 739.0 235.88 753.5 1435.6 q1a15 
3 -7 -28 -152.07 404.94 341.0 125.94 746.0 344.7 q1a3 
3 -3 -7 2483.1 211.08 1379.0 52.16 510.8 329.9 q1a2 
4 -6 -20 507.84 144.18 345.0 76.66 657.9 308.5 q1a3 
4 -4 -8 7063.89 291.08 6507.0 53.06 527.0 299.0 q1a2 
5 -11 -35 450.29 379.33 394.0 168.14 685.6 1421.8 q1a15 
5 -7 -20 44.44 149.46 160.0 77.97 664.1 275.5 q1a3 
5 -5 33 1262.55 424.31 786.0 195.09 249.0 114.9 q0a1 
6 -20 -54 -18.56 138.4 147.0 60.56 632.8 1164.3 q1a13 
6 -10 53 115.42 128.96 137.0 78.11 294.5 412.6 q0a5 
6 -8 -20 57.91 177.44 325.0 88.33 670.3 242.2 q1a3 
6 -6 33 1036.71 404.71 790.0 197.99 283.3 119.3 q0a1 
7 -15 -40 31.21 193.74 224.0 125.53 612.3 1338.9 q1a15 
9 -13 -26 277.57 424.55 474.0 197.66 763.8 164.6 q1a1 
10 -12 41 -309.42 239.93 453.0 127.25 36.9 1422.7 q0a14 
10 -10 -3 653.85 195.73 559.0 140.62 507.4 118.6 q1a0 
11 -13 39 328.4 155.62 204.0 117.97 64.9 1390.5 q0a14 
11 -11 24 -770.06 538.21 480.0 211.88 235.8 1439.8 q0a15 
12 -14 -12 -636.2 360.29 423.0 189.45 620.8 50.0 q1a1 
12 -12 8 -145.66 361.95 514.0 192.65 398.7 28.9 q1a0 
12 -12 17 1404.55 438.3 494.0 210.09 319.2 1418.7 q0a15 
13 -15 -9 1474.52 235.94 819.0 160.42 594.1 9.0 q1a1 
14 -26 66 -80.91 93.63 92.0 39.71 21.5 991.9 q0a10 
15 -31 -47 -198.5 110.95 96.0 53.5 443.6 846.2 q1a8 
15 -25 -34 -65.18 96.82 99.0 59.72 652.3 808.3 q1a9 
15 -25 59 199.08 135.85 136.0 59.2 27.1 906.8 q0a8 
15 -19 -13 -248.9 339.0 305.0 123.67 731.5 493.6 q1a5 
15 -19 38 194.46 98.02 135.0 76.54 91.7 1249.1 q0a12 
15 -17 2 -583.87 396.57 393.0 140.69 720.1 641.1 q1a7 
21 -29 4 214.85 115.4 146.0 70.49 414.0 606.9 q1a6 
-26 -20 -10 125.26 209.5 244.0 66.14 737.2 1094.4 q1a11 
-25 -37 -5 24.99 81.16 96.0 51.61 408.9 1041.7 q1a10 
-25 -21 -8 -408.48 248.44 268.0 76.28 722.6 1045.3 q1a11 
-24 -26 -5 -84.46 107.23 126.0 69.66 633.5 993.9 q1a11 
-23 -37 -2 54.97 115.28 120.0 52.23 427.2 946.3 q1a10 
-23 -13 -8 58.54 156.4 170.0 85.66 529.4 438.3 q1a4 
-23 -11 -9 -279.85 374.07 410.0 97.65 524.3 474.2 q1a4 
-22 -2 -13 -172.76 179.04 207.0 95.36 538.6 610.6 q1a6 
-22 2 -16 336.94 194.65 421.0 97.06 522.6 684.8 q1a6 
-21 -25 -1 -164.6 105.46 117.0 74.4 668.3 892.9 q1a9 
-21 15 -27 -44.54 118.57 149.0 91.34 204.4 1122.8 q0a13 
-20 -24 0 -17.75 82.36 101.0 73.75 691.5 854.1 q1a9 
-20 18 -29 -63.27 145.98 157.0 95.47 145.8 1145.9 q0a12 
-19 -39 3 -138.61 118.12 119.0 65.01 420.4 801.9 q1a8 
-19 -37 3 56.36 111.05 105.0 64.24 459.9 802.6 q1a8 
-19 1 -11 -20.44 151.44 229.0 131.44 645.1 664.9 q1a7 
-19 15 -24 131.73 157.52 155.0 96.47 213.2 1208.1 q0a13 
-18 -36 4 96.3 119.16 137.0 64.3 486.8 763.9 q1a8 
-18 -10 -3 -305.69 454.08 376.0 140.69 716.5 504.2 q1a5 
-18 30 -44 262.62 140.07 130.0 68.38 33.5 867.3 q0a8 
-17 -17 1 -227.04 287.95 345.0 131.9 769.0 390.0 q1a5 
-17 -3 -6 58.77 412.81 455.0 165.03 732.4 597.4 q1a7 
-17 19 -26 517.79 211.36 351.0 102.41 137.2 1263.4 q0a12 
-16 -40 6 141.5 116.37 116.0 66.5 413.5 1126.3 q1a12 
-16 -38 6 -39.15 111.57 126.0 67.35 411.9 1164.9 q1a12 
-16 -36 6 32.25 143.61 144.0 72.75 410.3 1202.8 q1a12 
-16 -28 5 -215.43 162.09 182.0 114.83 400.5 1319.5 q1a14 
-16 0 -7 521.15 632.03 470.0 208.65 757.9 650.5 q1a7 
-16 12 -17 -121.0 248.98 267.0 171.0 281.1 1313.0 q0a15 
-15 -29 6 -143.77 139.56 161.0 104.97 437.3 1307.7 q1a14 
-15 11 -15 363.98 362.73 627.0 206.22 300.5 1353.5 q0a15 
-15 13 -17 -31.09 231.36 316.0 171.29 262.1 1344.0 q0a15 
-15 15 -19 -345.19 255.55 350.0 178.19 223.3 1334.5 q0a15 
-15 35 -49 291.5 92.96 268.0 59.5 110.3 975.8 q0a10 
-14 4 -8 -504.52 389.54 507.0 219.72 406.1 8.3 q1a0 
-14 12 -15 1074.39 324.44 710.0 203.01 281.6 1383.9 q0a15 
-14 14 -17 -56.64 330.22 427.0 197.24 243.4 1374.6 q0a15 
-14 24 -29 -185.94 236.72 226.0 127.94 33.2 1317.5 q0a14 
-14 28 -35 -55.85 141.56 139.0 81.65 222.2 779.1 q0a9 
-14 38 -54 13.43 80.17 98.0 56.17 115.0 1079.2 q0a10 
-13 -11 2 -248.19 469.67 484.0 231.19 650.5 85.3 q1a1 
-13 -9 1 1530.83 506.81 1199.0 250.57 617.9 80.2 q1a1 
-13 1 -5 4304.5 406.57 2229.0 216.5 455.6 51.5 q1a0 
-13 21 -24 746.33 225.26 504.0 152.07 103.8 1373.0 q0a14 
-12 -42 9 -325.27 123.58 113.0 70.29 561.1 1117.2 q1a12 
-12 -36 9 -223.51 220.2 204.0 79.11 551.9 1229.3 q1a12 
-12 -14 4 1554.55 596.05 589.0 264.05 695.4 124.9 q1a1 
-12 -4 -1 -573.09 416.29 529.0 214.29 536.3 99.0 q1a0 
-12 2 -5 728.83 332.91 627.0 196.57 436.4 80.6 q1a0 
-12 20 -22 298.35 327.46 516.0 180.85 125.3 1413.0 q0a14 
-12 30 -36 -7.56 200.71 293.0 83.56 282.8 824.3 q0a9 
-12 36 -47 -136.49 134.25 168.0 67.89 225.8 982.6 q0a11 
-11 -21 7 98.11 592.37 505.0 211.49 555.9 1463.2 q1a14 
-11 -15 5 -460.8 653.86 530.0 269.2 707.5 159.0 q1a1 
-11 -3 -1 364.74 202.21 418.0 166.86 516.8 127.7 q1a0 
-11 3 -5 1031.09 247.49 629.0 164.71 417.5 109.4 q1a0 
-11 19 -20 297.42 549.12 519.0 211.18 146.3 1452.2 q0a14 
-11 35 -44 152.93 108.28 122.0 63.67 276.2 943.2 q0a11 
-10 -34 10 -523.41 248.37 310.0 101.21 612.2 1277.4 q1a13 
-10 -2 -1 735.69 180.2 397.0 145.31 497.5 156.1 q1a0 
-10 36 -45 -101.55 86.06 97.0 65.95 305.1 971.8 q0a11 
-9 7 -7 -122.64 274.17 297.0 130.24 314.0 344.0 q0a3 
-9 21 -21 380.25 316.7 521.0 199.75 371.3 108.3 q0a1 
-8 -36 11 229.07 218.23 273.0 89.33 681.5 1254.5 q1a13 
-8 10 -9 1683.3 206.02 1091.0 117.3 294.0 289.2 q0a3 
-8 18 -17 286.51 732.93 638.0 301.89 325.7 167.6 q0a1 
-7 -13 6 148.64 173.34 259.0 95.76 658.3 249.4 q1a3 
-7 -3 1 216.8 150.07 130.0 57.8 503.3 221.5 q1a2 
-7 3 -3 8798.45 332.71 4997.0 57.95 405.7 203.0 q1a2 
-7 21 -20 -1120.02 609.42 550.0 251.22 307.5 104.9 q0a1 
-7 31 -34 -9.9 129.04 136.0 90.1 289.5 403.9 q0a5 
-6 -24 10 34.21 727.8 551.0 275.59 715.7 1440.1 q1a15 
-6 -6 3 1808.85 249.31 1205.0 68.35 546.6 259.9 q1a2 
-6 2 -2 -80.39 172.38 189.0 56.99 418.0 235.8 q1a2 
-6 14 -12 -83.04 130.12 181.0 107.84 248.3 210.7 q0a3 
-6 30 -32 154.38 169.91 213.0 103.62 313.8 443.3 q0a5 
-5 1 -1 14561.25 407.44 8559.0 57.75 430.3 268.4 q1a2 
-5 19 -17 -13.16 448.81 518.0 225.96 237.2 139.7 q0a1 
-5 29 -30 -532.33 405.19 369.0 133.93 337.5 482.0 q0a5 
-5 37 -44 -74.77 131.11 156.0 71.97 109.9 428.1 q0a4 
-5 39 -48 -224.73 132.71 128.0 71.53 41.1 411.6 q0a4 
-4 -44 12 22.56 115.31 127.0 78.44 894.3 704.1 q2a6 
-4 -34 12 396.01 324.01 363.0 134.37 1070.1 732.9 q2a7 
-4 -16 8 654.21 200.68 421.0 99.59 690.6 346.7 q1a3 
-3 -33 12 -66.04 372.44 494.0 143.84 1093.1 704.8 q2a7 
-3 -5 3 1786.05 216.84 1468.0 58.55 516.5 344.5 q1a2 
-3 33 -36 -97.14 258.67 298.0 97.74 224.6 523.0 q0a5 
-2 -32 12 -624.29 560.12 491.0 178.09 1115.9 677.1 q2a7 
-2 -26 11 2017.88 473.15 705.0 226.12 821.6 21.5 q2a0 
-2 -22 10 -674.46 347.34 417.0 195.66 810.3 85.4 q2a0 
-2 22 -20 2452.69 530.09 634.0 246.31 161.6 67.0 q0a0 
-1 -47 12 9.68 117.32 132.0 69.92 857.2 596.1 q2a6 
-1 -13 7 938.2 153.77 556.0 74.2 814.4 202.4 q2a2 
-1 7 -5 992.02 157.11 849.0 79.78 80.4 311.3 q0a2 
0 -46 12 -15.39 103.38 128.0 72.99 883.0 567.0 q2a6 
0 -22 10 -649.67 311.04 321.0 189.07 869.4 96.6 q2a0 
1 -27 11 835.05 642.16 611.0 247.55 914.4 22.8 q2a0 
1 -19 9 6.58 176.74 233.0 152.82 889.8 149.5 q2a0 
